"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33"
"1";3,29099508768107e-08;2,77918898717366e-08;1,42069932820868e-08;8,32730110245783e-09;4,93681880528997e-09;2,71856294734168e-09;1,53376524007464e-09;9,7884855473176e-10;5,72699146903796e-10;3,55687588254294e-10;2,19381463038068e-10;1,67327017787328e-10;9,23412054213436e-11;5,01609162956823e-11;3,09527212043595e-11;1,84919765094451e-11;9,61875810357751e-12;2,23825900401324e-13;1,26400072155962e-12;1,10370862630253e-12;9,54529886763043e-13;5,47648209312131e-13;-1,08096804574145e-12;-1,10766798956102e-12;-6,13769664083141e-13;-4,20957522564215e-13;1,79289067763334e-14;4,55245639138061e-14;-4,47432216930818e-13;-3,46491848126569e-13;1,93673144593874e-13;3,65832893581322e-13;-4,88519175023963e-13
"2";3,80640681186348e-08;3,06910297987012e-08;1,67503333082708e-08;9,44002826298686e-09;5,35736804754416e-09;3,2194541519381e-09;1,82169647429181e-09;1,07525987140644e-09;7,10310020133905e-10;4,27928490843254e-10;3,03502322455285e-10;1,70682880947031e-10;1,01847015921335e-10;6,9090004858197e-11;4,00613168423665e-11;2,27582664996124e-11;2,35920724347929e-11;1,29124652405256e-11;6,35796155340535e-12;3,57338449936968e-12;4,13407552403272e-13;2,05509104067122e-12;1,27141583005072e-12;-1,28834539060956e-12;-1,77765694777112e-12;-1,68681671832723e-12;-1,5729258999477e-12;-1,16466212008603e-12;-3,00138573488749e-15;-8,09481999516127e-14;-5,48141585881661e-13;3,48331545231322e-14;5,76409265814653e-13
"3";3,24967730486925e-08;3,17502350715372e-08;1,51211333169739e-08;8,45242221221112e-09;4,76724481392828e-09;3,03781329446551e-09;1,67991643780499e-09;9,63567896385887e-10;5,20726711752495e-10;3,21647330507768e-10;1,82737935548154e-10;1,11205553545538e-10;7,49776748436637e-11;4,81187176331801e-11;3,52948255419821e-11;2,16918146948355e-11;1,24572159747562e-11;8,64713688901186e-12;5,12961315150726e-12;5,08649346429388e-12;-7,50318436164734e-13;3,08895415578025e-13;1,88363491936231e-12;2,40488532702119e-12;1,62229548550961e-12;1,37469829247112e-12;4,57910240225141e-13;2,69789825707055e-13;6,76982959225956e-14;2,44666353812219e-13;6,0225866593387e-13;4,47364757109304e-13;3,76880457413417e-13
"4";3,15866908219116e-08;2,99897882928801e-08;1,61399099416311e-08;9,03448562314469e-09;5,09556491056966e-09;3,24318926805583e-09;1,86342010264226e-09;1,07568978248639e-09;7,47885545321616e-10;3,73470741000502e-10;2,50026863413023e-10;1,4382924082356e-10;9,26691881678683e-11;4,85971465188801e-11;3,31931088062344e-11;2,32664440148839e-11;1,2063954292429e-11;1,67396931994725e-11;1,12641153527533e-11;7,6963382399771e-12;5,42446123802729e-12;1,61805926176553e-12;2,91288259192037e-12;1,78065322215742e-12;5,04360487469327e-13;2,25376228188306e-13;4,1501811897633e-13;-1,88282934490891e-13;-3,81959966771809e-13;-9,4229057413653e-13;-6,963005771716e-13;-3,06395525030738e-13;-5,30071111527795e-13
"5";3,38910634041562e-08;2,97299643850456e-08;1,71954473496151e-08;9,31570855428679e-09;5,05369711206879e-09;2,91566460330466e-09;1,71185012526654e-09;1,04294974202412e-09;6,9385844370877e-10;4,24426444037096e-10;2,43885191659991e-10;1,32203451230659e-10;6,0030876251027e-11;2,96928787054626e-11;1,87186764566605e-11;1,30720306165396e-11;1,76228224605214e-11;7,54202337916071e-12;8,64388442410675e-12;7,19298842002975e-12;4,66981550485941e-12;1,85730282500253e-12;2,45672282399248e-12;-3,09395843744617e-13;-8,87836958712716e-13;1,13426390565595e-12;1,39520396657972e-12;1,31321996606613e-12;1,52319474294192e-12;1,31371999397871e-12;5,38608053160709e-13;5,62515245934413e-13;5,69605751123031e-13
"6";3,48324774395033e-08;3,20798949173243e-08;1,62118881390452e-08;9,57081936561341e-09;5,46204817267418e-09;3,04046975606842e-09;1,87366268985858e-09;1,10180900329895e-09;6,6669412522531e-10;4,11338533777847e-10;2,41595209212987e-10;1,50797226546974e-10;1,011824873298e-10;5,94534711057582e-11;3,73361003915606e-11;2,48585283507307e-11;1,00924783172652e-11;3,98950550299555e-12;2,698407982119e-12;-2,44722134630516e-12;-2,49398441190773e-12;-5,15683346528177e-12;-3,48838370341324e-12;-1,85699047168605e-12;5,7558314515211e-13;1,59582616083523e-12;2,30163485929974e-12;6,85788730573622e-13;7,99684330539809e-13;5,40886285150201e-14;-4,39129042913471e-13;-5,70505021750488e-13;-9,13418636255332e-13
"7";3,70556839129763e-08;3,16886793500191e-08;1,69746770391385e-08;8,94116397644343e-09;5,35959761850657e-09;2,87560724535441e-09;1,9099845374783e-09;1,12330754112511e-09;6,96717338966821e-10;4,20678255930433e-10;2,65575078068452e-10;1,95344742707061e-10;1,47788711156453e-10;8,50035736643057e-11;4,92429646679574e-11;2,70867752921493e-11;2,56938616486371e-11;1,54930892988855e-11;1,1588700750921e-11;8,89936042892613e-12;4,29353640634187e-12;4,21803454181421e-12;4,42842003259392e-12;6,22548049219848e-13;1,94268262152535e-12;2,18204111703234e-12;1,75342936835375e-12;1,37765517727609e-12;2,31790271218095e-12;1,19158809805039e-12;7,32979362783499e-13;7,16046335761212e-13;4,12204927473129e-13
"8";3,1963659089376e-08;3,00336575486883e-08;1,51527221133138e-08;8,64655273342918e-09;5,07623444991579e-09;2,77469673615812e-09;1,79693483608524e-09;1,15239213146035e-09;6,5539019202428e-10;4,01428169071324e-10;2,23266301164956e-10;1,58003031940421e-10;9,2237802931123e-11;4,73418345414481e-11;1,94734449565395e-11;3,88980730116202e-12;-2,13185496125258e-12;-1,93805326863062e-12;-3,14555165389007e-12;3,5491515929952e-13;-1,74679235089505e-12;-1,83444281306473e-12;1,28026587601466e-12;-6,97439507373665e-13;-3,31774562443002e-13;-7,42210220028168e-13;-1,03640990324871e-12;-7,61437294796111e-13;-1,07461308232398e-12;-6,46822051572539e-13;-6,46145510978339e-13;3,8047213149916e-14;6,82269251551871e-13
"9";3,58640302841022e-08;3,06537517895045e-08;1,5804758831696e-08;9,0904801879795e-09;5,23526605375181e-09;3,11389503109825e-09;1,77183989426394e-09;1,00113077777598e-09;6,52134749092814e-10;4,08833317463644e-10;2,21595922638941e-10;1,51983912819894e-10;1,07389485745989e-10;6,27586619019622e-11;4,7266270859616e-11;2,41825575524873e-11;1,14191627201012e-11;4,07529349211846e-12;1,10130060685531e-12;5,25309375246086e-13;2,54459520946542e-12;3,94416021884683e-12;7,47522899415524e-13;-6,05022873134961e-13;-1,32146360471832e-13;5,8713144143544e-13;-5,92802009881968e-13;-2,5500073580693e-13;-8,75778486422384e-13;-5,24598537947181e-13;5,88121937585284e-13;-1,10335509175048e-13;7,74099850912045e-14
"10";3,65892429283938e-08;3,34498078913523e-08;1,78314977447396e-08;1,05846489981697e-08;6,39822448232413e-09;3,46730320096363e-09;2,10594704592783e-09;1,27383195304339e-09;7,74355107386917e-10;4,89110162090542e-10;3,06497917017116e-10;1,56107055778557e-10;1,19694882777555e-10;6,53031530890875e-11;3,14025357298518e-11;1,2314936869778e-11;2,69645386657043e-12;4,06745703529073e-12;1,59166957281865e-12;-6,98088609420333e-13;-3,23322346072391e-12;-6,32276184218612e-12;-5,02434979364777e-12;-3,27522762777334e-12;-4,37736001810633e-12;-2,55838996161437e-12;-1,09866046027173e-12;-2,14240109635054e-12;-1,80911202472562e-12;-6,95081221856111e-13;-8,36042987200174e-13;-1,5131594571632e-13;1,29463252396288e-13
