"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33"
"1";-3,32171530984945e-09;1,23017518682395e-08;5,70349021431596e-09;3,2098424097236e-09;1,98953016063093e-09;1,02054962247411e-09;5,95066250889501e-10;3,48491985114735e-10;1,93943796423015e-10;1,09328229021873e-10;7,48156444218369e-11;6,13769184318911e-11;3,48190292925097e-11;1,75104929017171e-11;7,10405923008637e-12;4,97210894225299e-12;4,00647363216793e-12;6,91209811366621e-13;-7,71030070881901e-13;2,13538197190809e-14;1,84965281663804e-12;2,2433057512691e-12;7,52225473077705e-13;-3,40815636088207e-14;1,06584761937857e-13;-2,67454526621079e-13;-2,65418674769772e-13;-4,06376041979612e-13;-2,65606697554139e-13;9,88303889734377e-15;6,38053767980663e-14;4,92275237923161e-13;1,51529114186427e-13
"2";-4,2744265501432e-09;1,32625464405945e-08;7,10981374120603e-09;3,74107954787857e-09;2,09170264402019e-09;1,16964229033105e-09;6,74655264282116e-10;4,01681043610949e-10;2,83284992642984e-10;1,84139404641119e-10;1,25438621604645e-10;7,90535713907452e-11;4,05763495589189e-11;2,3116914445552e-11;1,48083801554297e-11;9,1921872101513e-12;8,46860732593271e-12;3,9142083628832e-12;3,73724519191347e-12;2,2496032049221e-12;-1,8671078197831e-13;-3,39479496029581e-13;-4,84077331183472e-14;-8,41103780363087e-13;-4,10174162733216e-13;-6,38234270176113e-13;-1,50928824114312e-13;-5,00969303621688e-13;-4,20583364770795e-13;-2,6022773336223e-14;-3,13368550342096e-13;8,60764339565776e-14;1,23290969948503e-13
"3";-6,00089756142194e-09;1,4230824680691e-08;6,22460230952036e-09;3,32489285115726e-09;1,86215367663533e-09;1,18658201697533e-09;6,44349880775585e-10;3,86279883821971e-10;2,00999159190572e-10;1,33702679237463e-10;7,7790585156445e-11;4,041557010834e-11;2,35491326102209e-11;1,5632489796836e-11;9,84691234199885e-12;5,49858103549752e-12;2,33113563752681e-12;1,3549142063035e-13;5,1912859031203e-13;4,2925794032965e-13;3,01779452040435e-13;1,234016039068e-12;7,95170407223499e-13;1,34908319580419e-12;9,06540835020086e-13;8,05445294983155e-13;4,33733654451872e-14;-1,47715410042113e-13;-4,24436157774719e-13;-6,25884767790941e-14;-7,5357922413519e-14;-3,37601022767612e-13;6,04576222870245e-14
"4";-5,04606799162179e-09;1,29954812453122e-08;6,71869474056389e-09;3,64955554775718e-09;2,01698966504905e-09;1,31200405468506e-09;7,61539614715011e-10;4,18195111331261e-10;2,94786213806872e-10;1,48511884773385e-10;1,02738005458159e-10;5,85205119312022e-11;3,45447290099894e-11;2,02456346353136e-11;1,23327950344885e-11;1,04467467570208e-11;7,15167960524877e-12;4,69602214408678e-12;2,00027685727296e-12;3,49174698359762e-12;3,09813643416295e-12;1,27513726351718e-12;5,86062179323672e-13;1,07416842793209e-12;3,49711774912208e-13;1,92156727741463e-13;-3,30016399260718e-13;-4,47075230522779e-13;-1,840076849199e-13;-3,73980905985768e-13;-1,88431918009298e-13;1,40810377892819e-13;3,67041766132182e-13
"5";-3,42568017839015e-09;1,35147066569029e-08;7,2835054246856e-09;3,78131606496444e-09;1,92705534433745e-09;1,06945743724479e-09;6,53416677956849e-10;3,69733254109074e-10;2,39187133425565e-10;1,4233212999197e-10;8,34315654998472e-11;5,07710828430983e-11;2,05062067648984e-11;8,56303558387294e-12;8,5048169198089e-12;9,24211887508908e-12;5,66297660697775e-12;4,89028043231842e-12;2,31878192529338e-12;2,78282324684452e-12;3,152139383939e-12;4,12140177857056e-13;4,31508720239372e-13;-5,65317254920822e-13;1,74442702049079e-14;6,07286532615157e-14;7,64285861774953e-14;-8,8444560235166e-14;1,13922332904457e-13;-8,70932017593237e-14;-1,09157290979944e-13;-3,5438270790988e-13;-3,19274598909051e-13
"6";-1,75332802436155e-09;1,31048904924613e-08;6,4169003063188e-09;3,66902836442165e-09;2,07862832454565e-09;1,08752838302068e-09;6,87253350056614e-10;4,28293255998534e-10;2,34021736472022e-10;1,26622465315556e-10;7,56988637653058e-11;5,23125801155315e-11;4,41301206308128e-11;2,73979772756766e-11;1,49061588065216e-11;7,67302117265659e-12;2,64411411890499e-12;8,06334901246745e-13;-9,31446718397304e-13;-2,56920666685471e-12;-2,03799901007214e-12;-1,78893952879169e-12;1,16351141772377e-13;1,57875019330258e-13;2,60094323373462e-13;9,42582273347975e-14;5,98580087900001e-13;9,20225285469173e-13;7,5489936363461e-13;5,22681217414976e-13;6,8431059164964e-14;2,39480071660856e-13;-1,39867000742228e-14
"7";-3,05477735143204e-09;1,37407863037115e-08;7,10889214286792e-09;3,56991229745169e-09;2,19116656990255e-09;1,17536701653705e-09;7,69080143281512e-10;4,42299341170783e-10;2,89927493061923e-10;1,90810783300003e-10;1,30580505165047e-10;8,16667447293187e-11;5,29100217650578e-11;2,18431216793907e-11;1,63252132475028e-11;5,7842274662548e-12;3,06373292797775e-12;1,56638761673775e-12;1,41706905473227e-12;2,40717883869014e-12;3,4749617939441e-13;1,58901238733327e-12;1,79685142609928e-12;9,37166427967194e-13;6,59792834883883e-13;8,38209505309366e-13;3,70490322865818e-13;6,80615680164469e-13;4,08459520503078e-13;6,21740502493634e-14;2,69747547303836e-13;3,85279853469312e-13;-1,95210089532425e-15
"8";-4,54720616137911e-09;1,29279020430272e-08;6,04801322200757e-09;3,22145250626938e-09;1,8386205116514e-09;8,98768054669581e-10;6,09757603535478e-10;4,026384398629e-10;2,32524152357882e-10;1,38960388310303e-10;7,01806465234248e-11;5,10605993001693e-11;2,62533763468283e-11;1,26081569038377e-11;7,49418889577004e-14;-2,16914856456382e-12;-1,02031600141407e-12;-2,14185271620195e-12;-5,98192837934962e-13;1,79736063205094e-12;-6,13782844956317e-14;8,78550123932828e-14;1,36248155833801e-12;-3,26848499854819e-13;-5,1930607383647e-13;1,92604477124083e-14;-6,33516952557632e-13;-5,44466760667146e-13;-6,69218885509492e-13;-2,63459638427374e-13;-4,03708320187633e-13;-2,05443280074802e-13;-1,61186048254536e-13
"9";-4,45647214451287e-09;1,30851217885871e-08;6,26639850809637e-09;3,52505015396235e-09;1,96158164501035e-09;1,24912718879009e-09;6,87405773092394e-10;3,89124059811194e-10;2,63687995792988e-10;1,67540884974216e-10;8,94864047050028e-11;5,34989615346979e-11;4,12050999500388e-11;2,3559939141251e-11;1,19201165749173e-11;5,62342416502623e-12;4,63044735182444e-12;2,10950480804035e-12;4,12921986990421e-12;1,73664626919202e-12;-1,43007358960113e-12;-1,11903659081482e-13;4,1282605476395e-13;1,11899672934328e-12;-3,4997091966092e-13;4,89966584985506e-13;4,32058021551433e-13;4,2792462154191e-13;3,47600805187904e-13;1,03834544814202e-13;4,42571952510156e-13;5,49550906353484e-13;8,18324259666912e-13
"10";-7,06637439010272e-09;1,41527011641737e-08;7,1407835429442e-09;4,12646800236097e-09;2,49469719402086e-09;1,24375394855922e-09;7,91013790320959e-10;4,74450734540502e-10;3,31229330574839e-10;1,94268491323392e-10;1,22100533278971e-10;6,27952306804198e-11;4,1182109220267e-11;2,76586529638936e-11;7,64173811465758e-12;2,09538599278717e-12;-6,17413618524319e-13;1,48285003953065e-13;-8,40773135373753e-14;9,79942597905812e-13;-4,36339351916439e-13;-1,48831240050424e-12;-1,93869929897521e-12;-9,91375388948025e-13;-1,25252561281398e-12;-1,1801139466062e-12;-9,38346125014645e-13;-8,51025943249905e-13;-7,15316926883991e-13;-2,49793317031689e-13;1,61002675537564e-14;-4,2006506279326e-13;2,69771764123338e-13
"11";-6,09724283741148e-09;1,44269634733579e-08;7,09039260181018e-09;3,64728177906047e-09;2,06430912725217e-09;1,21381357717513e-09;6,91428396435922e-10;3,99110425584884e-10;2,32899314582476e-10;1,41942306444092e-10;8,54084377829572e-11;4,93437987761183e-11;3,60495116875703e-11;2,61653998840848e-11;1,54245231028164e-11;1,00993118209716e-11;5,72722487267388e-12;3,06025771998835e-12;1,35224887209055e-12;1,83780481602163e-12;1,95263732406027e-12;7,16121981780412e-13;-4,05393174233501e-13;-1,80706165484154e-14;-4,80578061453763e-13;-4,01768996028427e-14;-7,05737737150934e-13;-5,23255314845395e-13;-4,96672129400377e-13;-4,53808245894938e-13;-9,32815433545166e-14;-1,54565063362211e-13;-1,52403830793107e-13
"12";-5,680662002559e-09;1,32953804116536e-08;6,87039775088411e-09;3,7101404031016e-09;2,01442865965895e-09;1,20577470637443e-09;6,73959708059325e-10;4,1983903956424e-10;2,34838345978201e-10;1,50249650668739e-10;8,30984680255511e-11;4,45860882621932e-11;2,37206547119262e-11;8,68662651810906e-12;7,28248010999473e-12;1,52609886277612e-13;1,48512487376858e-12;-1,31096960032947e-12;-2,33742595993357e-13;-1,50879906131288e-12;-4,00307722755214e-13;-3,11095042336843e-13;4,72033695778297e-13;7,47510817684349e-13;1,70664334230611e-12;9,72272499763244e-13;4,26961696299352e-13;4,34484917061173e-13;3,02478610017697e-13;1,2605708120518e-13;2,97737223899957e-13;2,61576681239699e-13;-2,12759435770208e-14
"13";-4,03212962785665e-09;1,31755158619668e-08;7,39217203510864e-09;4,03393266292161e-09;2,30489096663446e-09;1,3755840791995e-09;7,94285289403766e-10;4,62125249637962e-10;2,91141449420805e-10;1,63347492151616e-10;1,08949910701744e-10;6,28001423853099e-11;3,8623573381314e-11;2,59891910917088e-11;1,89565360569073e-11;9,80999226695019e-12;3,29705761970705e-12;2,82167593575042e-12;3,5506510379575e-12;2,5595838098975e-12;-3,95891068050038e-15;-9,79171429268934e-13;-5,36585740663742e-13;-6,15626315074283e-13;-9,26547538961409e-13;-4,75783187253419e-13;-2,56767621628008e-13;-5,45600827234659e-14;-3,59347477749841e-13;-3,09968156181201e-13;-1,23942609914009e-13;-2,13444134025534e-13;3,13941812567435e-13
"14";-5,00161127152059e-09;1,36526135770812e-08;6,88545769002817e-09;3,89014622018733e-09;2,06159364369033e-09;1,39189857387179e-09;8,02366040415944e-10;4,21559942696616e-10;2,21376390899539e-10;1,19546788957765e-10;7,64853643603801e-11;4,34374746194259e-11;3,2670690702919e-11;2,59340815848395e-11;1,05874164829842e-11;6,13622042740269e-12;2,7905620309469e-12;1,31188076488411e-12;5,0009916622924e-13;-3,29384373243554e-13;-3,06466837761036e-14;8,30599072303673e-13;3,11668679089339e-13;-9,93769142106427e-13;-3,42394342972539e-13;4,30852454092357e-13;-2,21377976887261e-13;-8,98838890363292e-15;3,1889072594468e-13;1,35884516960941e-13;1,56412443709156e-13;2,86584940570468e-13;-2,03581534312428e-13
